KEY,TEXT
alchemy.surplusremoval.body,錬金場で一つのレシピ毎に行える変成の回数は最大100回までです。上限を超える変成はすべて列から削除され、使用した資源はこのメッセージに添付されています。
alchemy.surplusremoval.title,錬金場の材料
alchemylab.alchemy,錬金
alchemylab.boost,ブースト
alchemylab.boost.confirmation,このブーストを購入すると、アルカシャードを追加で[#!]{0}[#]個獲得できます。購入しますか？
alchemylab.boost.get_more_alkashards#1,[#!]アルカシャード[#]を追加で[#!]{0}[#]個入手！
alchemylab.boost.get_more_alkashards#2,[#!]アルカシャード[#]を追加で[#!]{0}[#]個入手！
alchemylab.boost.get_more_alkashards#3,[#!]アルカシャード[#]を追加で[#!]{0}[#]個入手！
alchemylab.boosted,ブーストした！
alchemylab.cancel.really,"[#!]エピックアイテムを破棄[#]しようとしています！使用した素材やアイテムは[#!]復元できません[#]！

本当によろしいですか？"
alchemylab.cancel.title,変成を中止しますか？
alchemylab.choose.text,アイテムをタップで材料追加
alchemylab.chosen.text,選択した材料
alchemylab.craft.button,変成
alchemylab.description.transmuting,変成中：{0}
alchemylab.description.transmuting.max,変成中：{0} (max)
alchemylab.extra,追加！
alchemylab.migration.info.body,錬金場のアップグレードを受け取りました！変更を適用するために進行中だったプロセスを自動的に完了し、予定していたアクションをキャンセルしました。結果は受信箱でご確認ください！
alchemylab.migration.info.title,錬金場のアップグレート
alchemylab.migration.refundmail.body,"錬金場がアップグレートされました！予定していた変成はキャンセルされました。

予定していた変成に必要だったアイテムと資源をお返しします"
alchemylab.migration.refundmail.title,錬金場での変成に関する返還
alchemylab.migration.researchmail.body,錬金場がアップグレートされました！進行中だった研究は自動的に完了し、回収済みです。
alchemylab.migration.researchmail.title,錬金場での研究終了
alchemylab.migration.resultmail.body,"錬金場がアップグレートされました！進行中だった研究は自動的に完了しています。

完了したすべての研究結果とまだ受け取っていない変成をご確認ください。"
alchemylab.migration.resultmail.title,錬金場での変成が完了
alchemylab.ready,変成完了！
alchemylab.researchingelsewhere,このレシピを研究するには、他の研究が終わるのを待つ必要があります。
alchemylab.showavailableingredients.button,すべて表示
alchemylab.showchoseningredients.button,選択中のみ表示
alchemylab.transmutation.cancel,"これらのアイテムはすでに変成を開始しています。これを列から削除すると、使用したすべてのアイテムと資源が[#!]完全に失われます[#]！

本当にアイテムと資源を失ってもいいですか？"
alchemylab.transmutationready.message,変成の結果：
alchemylab.transmute.autofill,自動設定
alchemylab.transmute.button,変成
alchemylab.transmute.cauldron_full,大釜がいっぱいです！
alchemylab.transmute.confirmation.epic,"この変成で{0} [#!]エピックアセンド用素材[#]を消費しようとしています

本当によろしいですか？"
alchemylab.transmute.odds.title,変成レート
alchemylab.transmute.required_ingredients,必要な材料：
alchemylab.transmutetime,変成時間：[#!]{0}[#]
alkashard.dialog.cost,必要アルカシャード：
alkashard.dialog.guide,以下から選んでください：
alkashard.dialog.info.message,"アルカシャードを合成する際は、いくつかのアイテムの中から1つを選ぶことになる。

このアイテムのラインアップは、次のアルカシャードを合成するまで入れ替わることはない。"
alkashard.dialog.title,アルカシャードの合成
alkashard.done.dialog.title,アルカシャードから合成されました！
alliance.activetitan,タイタン出現中
alliance.activity,[#!]アクティビティ：[#] [%115]{0}[%]
alliance.activity.description,最近オンラインだった同盟メンバーの割合を表示します。
alliance.activity.title,同盟アクティビティ
alliance.activity_entry,アクティビティ：
alliance.alliances,同盟
alliance.chat.joinrequest,加入リクエストを承認しますか？
alliance.chat.joinrequest.accept,承認する
alliance.chat.joinrequest.accepted,[#!]{0}[#]が[#00ff00]承認しました[#]
alliance.chat.joinrequest.reject,拒否する
alliance.chat.joinrequest.rejected,[#!]{0}[#]が[#ff0000]拒否しました[#]
alliance.choose_banner,シンボル
alliance.choose_description,説明
alliance.choose_flag,パターン
alliance.choose_name,同盟名
alliance.choose_symbol,シンボル
alliance.choose_trophies,必要なトロフィー
alliance.choose_type,タイプ
alliance.demote,降格
alliance.error.alliance_not_found,この同盟は既に解散されています。
alliance.error.already_in_alliance_other,このプレイヤーは同盟に加入済です。
alliance.error.already_requested,この同盟への加入希望をすでに出しています。
alliance.error.banned,この同盟への加入希望は最近拒否されたばかりです。
alliance.error.block_edit_name,同盟名と説明文は一時的に無効です。
alliance.error.cant_attack_titan.message,"タイタンとの戦いに参加するには、タイタンの出現前に同盟のメンバーになっておく必要があります。

この同盟の一員であれば、次のタイタン出現時に戦いに参加できます。"
alliance.error.cant_attack_titan.rare.message,レアタイタンとのバトルに参戦するには、同盟に{0}日以上在籍している必要があります。
alliance.error.cant_attack_titan.title,攻撃権なし
alliance.error.full,この同盟は満員です
alliance.error.hexmap.already_finished,イベントは終了しました。
alliance.error.hexmap.attacker_in_battle,攻撃者はすでにバトルに加わっています。
alliance.error.hexmap.chest.already_claimed,宝箱を入手済みです。
alliance.error.hexmap.chest.not_enough_keys,この宝箱を空けるのに十分な数の鍵がありません。
alliance.error.hexmap.chest.unknown,宝箱が見つかりません。
alliance.error.hexmap.invalid_path,無効なルートが選択されています。
alliance.error.hexmap.invalid_team,チームの英雄全員が倒されてしまいました。
alliance.error.hexmap.no_energy_left,エネルギーが足りません。
alliance.error.hexmap.player.unknown,プレイヤーが見つかりません。
alliance.error.hexmap.target.dead,敵をすでに倒しています。
alliance.error.hexmap.target.unknown,不明な敵が選択されています。
alliance.error.invite_only,この同盟は招待のみです。最初からやり直してください。
alliance.error.name.taken,この名前はすでに別の人が使用しています。
alliance.error.name.too_short,同盟の名前は{0}文字以上で入力してください。
alliance.error.not_enough_trophies,この同盟に加入するにはトロフィー数が足りません。
alliance.error.player_not_found,このプレイヤーはもう存在しません。
alliance.error.text_validation,同盟名または説明に使用できない言葉が含まれています。
alliance.error.unknown,この同盟は既に解散されています。
alliance.error.war.already_finished,戦争はすでに終了しています。
alliance.error.war.attacker_in_battle,攻撃できません。また後でやり直してください。
alliance.error.war.defense.war_started,戦争はすでに始まっています！防御チームの変更はできません。
alliance.error.war.invalid_assist_dragon_count,攻撃できません。後ほどもう一度お試しください。
alliance.error.war.invalid_team,選択した攻撃チームは無効です。
alliance.error.war.no_attacks_left,戦争エネルギー切れ！
alliance.error.war.target.dead,ターゲットはすでに倒されています。
alliance.error.war.target.not_found,攻撃可能なターゲットが見つかりません。
alliance.error.war.target.reserved,他プレイヤーがターゲットを攻撃予定です。
alliance.error.war.target.under_attack,ターゲットはすでに攻撃下にあります。
alliance.error.war.target.unknown,ターゲットが不明です。また後でやり直してください。
alliance.error.war_battle_conflict,不明なエラーが発生しました。この問題の原因をできる限り早く特定し、修正いたします。
alliance.event.alliance_gift.alliance_christmas_gift_offer,[#!]{0}[#]から冬のギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.alliance_christmas_webstore_gift,[#!]{0}[#]から冬のギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.alliance_valentines_webstore_gift,ハッピーバレンタインデー！[#!]{0}[#]から贈り物を受け取ったぞ！受信箱をチェック！
alliance.event.alliance_gift.alliancegiftoffer_gift,[#!]{0}[#]から友情のジェムを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.battle_item_alliancemember_gift,[#!]{0}[#]からバトルアイテムを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.com.smallgiantgames.empires.6th_birthday_gift_zynga,[#!]{0}[#]から贈り物を受け取ったぞ！受信箱をチェック！
alliance.event.alliance_gift.default,[#!]{0}[#]から贈り物を受け取ったぞ！受信箱をチェック！
alliance.event.alliance_gift.golden_week_alliancemember_gift_day1,ハッピーゴールデンウィーク！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.golden_week_alliancemember_gift_day2,ハッピーゴールデンウィーク！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.golden_week_alliancemember_gift_day3,ハッピーゴールデンウィーク！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.golden_week_alliancemember_gift_day4,ハッピーゴールデンウィーク！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.golden_week_alliancemember_gift_day5,ハッピーゴールデンウィーク！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.golden_week_alliancemember_gift_day6,ハッピーゴールデンウィーク！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.golden_week_alliancemember_gift_day7,ハッピーゴールデンウィーク！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.valentines2018_alliance_member_gift,ハッピーバレンタインデー！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.valentines2022_alliancemember_gift_1,ハッピーバレンタインデー！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.valentines2022_alliancemember_gift_2,ハッピーバレンタインデー！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.valentines2022_alliancemember_gift_3,ハッピーバレンタインデー！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.valentines2022_alliancemember_gift_4,ハッピーバレンタインデー！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.valentines2022_alliancemember_gift_5,ハッピーバレンタインデー！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.alliance_gift.valentines2022_alliancemember_gift_6,ハッピーバレンタインデー！[#!]{0}[#]からギフトを受け取ったぞ！今すぐ受信箱をチェック！
alliance.event.demote,[#!]{1}[#]が[#!]{0}[#]に降格させられました。
alliance.event.event_ended,[#!]同盟クエスト[#]が終了しました。
alliance.event.event_ending,[#!]同盟クエスト[#]は{0}後に終了します！
alliance.event.event_started,[#!]同盟クエスト[#]が始まりました！
alliance.event.event_starting,[#!]同盟クエスト[#]は{0}後に開始します！
alliance.event.hexmap_ended,[#!]モンスター島イベント[#]は終了しました。
alliance.event.hexmap_ending,[#!]モンスター島イベント[#]はあと24時間で終了！
alliance.event.hexmap_started,[#!]モンスター島イベント[#]が開幕！
alliance.event.hexmap_starting,[#!]モンスター島イベント[#]はあと24時間で開幕！
alliance.event.inactive_leader_election,現在のリーダーはしばらく操作がなかったため、{0}が新しい同盟リーダーに選ばれました
alliance.event.inactive_leader_final,現在のリーダーはしばらく操作がありません。{0}後に、アクティブな同盟メンバーの中から新しい同盟リーダーが自動的に選択されます。これは最後の通知です。
alliance.event.inactive_leader_first,現在のリーダーはしばらく操作がありません。{0}後に、アクティブな同盟エルダーの中から新しい同盟リーダーが選ばれることになります。
alliance.event.inactive_leader_no_active_elders,同盟メンバーは全員しばらく操作がなかったので、新しい同盟リーダーの選考プロセスが停止されました。
alliance.event.inactive_leader_returned,同盟リーダーが戻ってきました。同盟リーダーがアクティブな場合、新しいリーダーは選ばれません。
alliance.event.join,[#!]{0}[#]が同盟に加入しました。
alliance.event.kick,[#!]{0}[#]が[#!]{1}[#]を同盟から追放しました。
alliance.event.leave,[#!]{0}[#]が同盟を去りました。
alliance.event.level_up,[#!]{0}[#]がレベル[#!]{1}[#]になった！
alliance.event.promote,[#!]{1}[#]が[#!]{0}[#]の権限で昇格しました
alliance.event.titan_created,新たなタイタンが出現！
alliance.event.titan_escaped,タイタンに逃げられた
alliance.event.titan_killed,タイタンを倒した！
alliance.event.top_attackers,"トップタイタンアタッカー: {0}
使用されたハープーン: [#!]{1}[#]"
alliance.event.top_attackers_no_harpoons,トップタイタンアタッカー: {0}
alliance.event.top_hexmap_players,モンスター島のトッププレイヤー：{0}
alliance.event.top_war_attackers,トップ戦争アタッカー: {0}
alliance.event.update_description,[#!]{0}[#]が同盟の説明を変更しました
alliance.event.update_featured_message_enabled_false,[#!]{0}[#]が同盟メンバー向けの注目のメッセージを削除しました
alliance.event.update_featured_message_enabled_true,[#!]{0}[#]が同盟向けの注目のメッセージを新たに設定しました。
alliance.event.update_language,[#!]{0}[#]が同盟の使用言語を変更しました
alliance.event.update_name,[#!]{0}[#]が同盟名を変更しました
alliance.event.update_required_trophies,[#!]{0}[#]が同盟のトロフィー条件を[#!]{1}[#]以上に変更しました
alliance.event.update_symbol,[#!]{0}[#]が同盟のシンボルを変更しました
alliance.event.update_type.inviteonly,[#!]{0}[#]が同盟タイプを[#!]招待のみ[#]に変更しました
alliance.event.update_type.open,[#!]{0}[#]が同盟タイプを[#!]オープン[#]に変更しました
alliance.event.war_created,[#!]同盟戦争[#]があと{0}で開始。防御態勢を整えよ！
alliance.event.wars_enabled_false,[#!]{0}[#]が本同盟の[#!]同盟戦争[#]への参戦を無効にしました。
alliance.event.wars_enabled_true,[#!]{0}[#]が本同盟の[#!]同盟戦争[#]への参戦を有効にしました。
alliance.exmember,[元メンバー]
alliance.hexmap.keys,鍵
alliance.hexmap.more_in,追加まであと：{0}
alliance.hexmap.remaining_health,残りHP：
alliance.hexmap.status.finished,イベントクリア！
alliance.hexmap.team,モンスター島チーム
alliance.indicator.create,処理中...
alliance.indicator.refresh,更新中...
alliance.info.allianceeventineligibleincoming,同盟クエストに参加するには、同盟に加入している必要があります
alliance.info.allianceeventineligiblestarted,"同盟クエストに[#!]参加するには、同盟に加入している必要があります[#]。この同盟クエストはすでに始まっているため、参加することはできません。

今同盟に参加すると、今後の同盟クエストにも参加できるようになります。"
alliance.info.comingsoon,近日公開！
alliance.info.confirmdemote.elder,本当に[#!]{0}[#]を[#!]エルダー[#]へ降格させますか？
alliance.info.confirmdemote.member,本当に[#!]{0}[#]を[#!]メンバー[#]へ降格させますか？
alliance.info.confirmkick,本当に[#!]{0}[#]を追放しますか？
alliance.info.confirmleave,本当に[#!]{0}[#]を離脱しますか？
alliance.info.confirmleaveanddisband,"本当に[#!]{0}[#]を離脱しますか？
他にメンバーが誰もいないため、この同盟は消去されることになります"
alliance.info.confirmleaveduringallianceevent,"本当に[#!]{0}[#]を離脱しますか？ 

同盟を離脱すると、進行中の[#!]同盟クエスト[#]に参加できなくなります。再び同盟に参加しても、このクエストに参加したり、報酬を受け取ることはできません。"
alliance.info.confirmleaveduringhexmap,"本当に[#!]{0}[#]を離脱しますか？ 

同盟を離脱すると、進行中の[#!]モンスター島[#]イベントに参加できなくなります。再び同盟に参加しても、このクエストに参加したり、報酬を受け取ることはできません。"
alliance.info.confirmleaveduringhexmappendingrewards,"本当に[#!]{0}[#]を離脱しますか？ 

同盟を離脱すると、進行中の[#!]モンスター島[#]イベントに参加できなくなります。"
alliance.info.confirmleaveubertitan,"本当に[#!]{0}[#]を離脱しますか？
現在の同盟や、他の同盟の [#!]ミシックタイタンスコア[#]に貢献したり、報酬を獲得したりすることはできなくなりますので、ご注意ください。"
alliance.info.confirmleavewar,"本当に[#!]{0}[#]を離脱しますか？

戦争の準備が始まりました！この戦争に参加するには、間に合うようにこの同盟に戻るようにしてください！ 戦争が始まるかなり前に戻ってくる必要があることにご注意ください。

残り時間: [#!]{1}[#]"
alliance.info.confirmleavewarafterstarted,本当に[#!]{0}[#]を離脱しますか？
alliance.info.confirmleavewarnoreturn,"本当に[#!]{0}[#]を離脱しますか？

戦争がまもなく開始します！今離脱すると、この戦争に参加できなくなります。"
alliance.info.confirmpromote.coleader,本当に[#!]{0}[#]を[#!]副リーダー[#]へ昇格させますか?
alliance.info.confirmpromote.elder,本当に[#!]{0}[#]を[#!]エルダー[#]へ昇格させますか?
alliance.info.confirmpromote.leader,"本当に[#!]{0}[#]を[#!]リーダー[#]へ昇格させますか?

注意: あなたは[#!]副リーダー[#]に降格となります"
alliance.info.created,おめでとうございます！新たな同盟がここに誕生しました
alliance.info.created.ubertitan,"おめでとう！新たな同盟がここに誕生しました。

現在の同盟の
 [#!]ミシックタイタンスコア[#]に貢献したり、報酬を獲得したりすることはできなくなりますので、ご注意ください。"
alliance.info.emptyname,まずは名前を決めてください
alliance.info.hexmapeventdisabled,今回のモンスター島イベントには参加できません。
