KEY,TEXT
alliance.event.inactive_leader_election,"Due to current Leader inactivity, {0} has been selected as the new Leader"
alliance.event.inactive_leader_final,Your Alliance Leader has been inactive for a while. A new Leader will be selected automatically from the eligible Alliance members in {0}. This is the final notification.
alliance.event.inactive_leader_first,Your Alliance Leader has been inactive for a while. A new Leader will be selected automatically from the eligible Alliance members in {0}.
alliance.event.inactive_leader_no_active_elders,New Alliance Leader selection process has been stopped since no eligible Alliance members were available.
alliance.event.inactive_leader_returned,The Alliance Leader returned. A new leader will not be selected if the Alliance Leader is active.
alliance.event.join,[#!]{0}[#] has joined the Alliance.
alliance.event.kick,[#!]{0}[#] has kicked [#!]{1}[#] from the Alliance.
alliance.event.leave,[#!]{0}[#] has left the Alliance.
alliance.event.level_up,[#!]{0}[#] reached level [#!]{1}[#]!
alliance.event.promote,[#!]{1}[#] was promoted by [#!]{0}[#].
alliance.event.titan_created,A new Titan has appeared!
alliance.event.titan_escaped,The Titan escaped.
alliance.event.titan_killed,The Titan was defeated!
alliance.event.top_attackers,"Top Titan Attackers: {0}
Harpoons Used: [#!]{1}[#]"
alliance.event.top_attackers_no_harpoons,Top Titan Attackers: {0}
alliance.event.top_hexmap_players,Top Monster Island Players: {0}
alliance.event.top_war_attackers,Top War Attackers: {0}
alliance.event.update_description,[#!]{0}[#] changed the Alliance description.
alliance.event.update_featured_message_enabled_false,[#!]{0}[#] has removed the featured Alliance message.
alliance.event.update_featured_message_enabled_true,[#!]{0}[#] has set a new featured message for the Alliance.
alliance.event.update_language,[#!]{0}[#] changed the Alliance language.
alliance.event.update_name,[#!]{0}[#] changed the Alliance name.
alliance.event.update_required_trophies,[#!]{0}[#] changed the Alliance trophy requirement to [#!]{1}[#].
alliance.event.update_symbol,[#!]{0}[#] changed the Alliance banner.
alliance.event.update_type.inviteonly,[#!]{0}[#] changed the Alliance type to [#!]Invite Only[#].
alliance.event.update_type.open,[#!]{0}[#] changed the Alliance type to [#!]Open[#].
alliance.event.war_created,The [#!]Alliance Wars[#] start in {0}. Prepare your defenses!
alliance.event.wars_enabled_false,[#!]{0}[#] has disabled [#!]Alliance Wars[#] for the Alliance.
alliance.event.wars_enabled_true,[#!]{0}[#] has enabled [#!]Alliance Wars[#] for the Alliance.
alliance.exmember,[Ex-member]
alliance.hexmap.keys,Keys
alliance.hexmap.more_in,More in: {0}
alliance.hexmap.remaining_health,Remaining health:
alliance.hexmap.status.finished,Event Finished!
alliance.hexmap.team,Monster Island Team
alliance.indicator.create,Processing...
alliance.indicator.refresh,Refreshing...
alliance.info.allianceeventineligibleincoming,You must be in an Alliance to participate in Alliance Quests.
alliance.info.allianceeventineligiblestarted,"[#!]You must be in an Alliance to participate[#] in Alliance Quests. You won't be able to participate in this Alliance Quest because it has already started.

Joining an Alliance now will allow you to participate in future Alliance Quests."
alliance.info.comingsoon,Coming soon!
alliance.info.confirmdemote.elder,Do you really want to demote [#!]{0}[#] to [#!]Elder[#]?
alliance.info.confirmdemote.member,Do you really want to demote [#!]{0}[#] to [#!]Member[#]?
alliance.info.confirmkick,Are you sure you want to kick [#!]{0}[#]?
alliance.info.confirmleave,Are you sure you want to leave [#!]{0}[#]?
alliance.info.confirmleaveanddisband,"Are you sure you want to leave [#!]{0}[#]?
Please note that your Alliance will be deleted as there are no other members."
alliance.info.confirmleaveduringallianceevent,"Are you sure you want to leave [#!]{0}[#]?

If you leave, you will no longer be able to participate in the ongoing [#!]Alliance Quest[#]. You will not be able to participate nor will you receive any rewards even if you rejoin."
alliance.info.confirmleaveduringhexmap,"Are you sure you want to leave [#!]{0}[#]?

If you leave, you will no longer be able to participate in the ongoing [#!]Monster Island[#] event. You will not be able to participate nor will you receive any rewards even if you rejoin."
alliance.info.confirmleaveduringhexmappendingrewards,"Are you sure you want to leave [#!]{0}[#]?

If you leave, you will not receive any rewards from the ongoing [#!]Monster Island[#] event even if you rejoin."
alliance.info.confirmleaveubertitan,"Are you sure you want to leave [#!]{0}[#]?
Please note that you will no longer be able to contribute to, or be rewarded for, the current [#!]Mythic Titan Score[#] of this, or any other Alliance."
alliance.info.confirmleavewar,"Are you sure you want to leave [#!]{0}[#]?

War Preparation has started! If you want to participate in this War, make sure you are back in this Alliance on time! Note that you need to be back well before the battles start.

Time remaining: [#!]{1}[#]"
alliance.info.confirmleavewarafterstarted,"Are you sure you want to leave [#!]{0}[#]?

Wars have started! If you leave now, you will not be able to participate in this War."
alliance.info.confirmleavewarnoreturn,"Are you sure you want to leave [#!]{0}[#]?

Wars are starting soon! If you leave now, you will not be able to participate in this War."
alliance.info.confirmpromote.coleader,Do you really want to promote [#!]{0}[#] to [#!]Co-leader[#]?
alliance.info.confirmpromote.elder,Do you really want to promote [#!]{0}[#] to [#!]Elder[#]?
alliance.info.confirmpromote.leader,"Do you really want to promote [#!]{0}[#] to [#!]Leader[#]?

Warning: You will be demoted to [#!]Co-Leader[#]."
alliance.info.created,Congratulations! You have created a new Alliance.
alliance.info.created.ubertitan,"Congratulations! You have created a new Alliance.
Please note that you will not be able to contribute to the current [#!]Mythic Titan Score[#] of this Alliance."
alliance.info.emptyname,You have to choose a name first.
alliance.info.hexmapeventdisabled,This Monster Island event is temporarily unavailable.
alliance.info.hexmapeventineligibleincoming,"You must be in an Alliance to participate in Monster Island events.

(Note: For Global Beta, your alliance needs to have more than {0} alliance score during the Preparation Phase in order to participate in the event.)"
alliance.info.hexmapeventineligiblestarted,"[#!]You must be in an Alliance to participate[#] in Monster Island events. You won't be able to participate in this Monster Island event because it has already started.

Joining an Alliance now will allow you to participate in future Monster Island events."
alliance.info.hexmapeventpreparation,"This Monster Island event is in the Preparation Phase.

(Note: For Global Beta, your alliance needs to have more than {0} alliance score during the Preparation Phase in order to participate in the event.)"
alliance.info.hexmapeventunavailable,"This Monster Island event is currently unavailable for your alliance.

(Note: For Global Beta, your alliance needs to have more than {0} alliance score during the Preparation Phase in order to participate in the event.)"
alliance.info.joined,"Congratulations!
You are now a member of [#!]{0}[#]."
alliance.info.joined.ubertitan,"Congratulations! You are now a member of [#!]{0}[#].

Please note that you will not be able to contribute to the current [#!]Mythic Titan Score[#] of this Alliance."
alliance.info.left,You have left [#!]{0}[#].
alliance.info.level_requirement,Alliances are unlocked on [#!]experience level {0}[#].
alliance.info.notjoined,You have to join an Alliance first.
alliance.info.opted_out_from_war,"You have been automatically [#!]opted out[#] from [#!]Alliance Wars[#] due to inactivity.

To participate in the next War go to Alliance settings and opt in."
alliance.info.searching,Searching Alliance info...
alliance.info.temporarilyunavailable,Temporarily Unavailable
alliance.info.title,Alliance info
alliance.join,Join
alliance.language,[#!]Language:[#] [%115]{0}[%]
alliance.language.nopreference,No preference
alliance.language.tooltip,The preferred language of the Alliance.
alliance.leader,[#!]Leader:[#] [%115]{0}[%]
alliance.leader_entry,Leader: {0}
alliance.long_ago,Long ago
alliance.memberlist,Member list
alliance.members,[#!]Members:[#] [%115]{0}[%]
alliance.members_entry,Members: {0}
alliance.notfound,No Alliances found
alliance.placeholder.description,Alliance Description
alliance.placeholder.featured_message,Alliance Message
alliance.placeholder.name,Alliance Name
alliance.placeholder.requestjoin,I'd like to join your Alliance
alliance.popup.disbanded,[#!]{1}[#] has been kicked from the Alliance by [#!]{0}[#].
alliance.popup.kicked,[#!]{1}[#] has kicked you from the Alliance [#!]{0}[#].
alliance.popup.request_accepted,[#!]{1}[#] has accepted your request to join the Alliance [#!]{0}[#].
alliance.promote,Promote
alliance.rank,Your Alliance global rank: [%115]{0}[%]
alliance.rank.coleader,Co-leader
alliance.rank.elder,Elder
alliance.rank.leader,Leader
alliance.rank.member,Member
alliance.rank.none,[Ex-member]
alliance.requestjoin,Request Join
alliance.requestjoin.sent,Request sent
alliance.requestjoin.title,Request to join
alliance.requiredtrophies,[#!]Required trophies:[#] [%115]{0}[%]
alliance.score,[#!]Score:[#] [%115]{0}[%]
alliance.score.description,"The Alliance Score is a combination of the [#!]Trophies[#] of the members, the points earned from fighting [#!]Titans[#], and the strength and victories in [#!]Wars[#].

The War Score is calculated based on the [#!]most powerful Heroes and Troops[#] of each Alliance member participating in the Wars, adjusted by their [#!]past performance[#] in the Wars.

The Titan Score [#!]decreases over time[#].

Trophy Score: {0}
Titan Score: {1}
War Score: {2}"
alliance.score.title,Alliance Score
alliance.score_entry,Score: {0}
alliance.settings,Alliance Settings
alliance.settings.description,Description:
alliance.settings.description.restricted,Editing not allowed due to code of conduct violation
alliance.settings.featured_message,Featured Message:
alliance.settings.name,Alliance name:
alliance.settings.name.restricted,Editing not allowed
alliance.settings.trophies,Required trophies:
alliance.settings.type,Type:
alliance.settings.war,Alliance Wars:
alliance.spectator.description,"This event started before you joined the alliance. You can only check the progress in [#!]spectator mode[#].

In spectator mode you can not participate in battles or explore the island."
alliance.team_power,[#!]Average Power:[#] [%115]{0}[%]
alliance.team_power.description,An estimate of the average Team Power among active alliance members.
alliance.team_power.title,Average Power
alliance.team_power_entry,Average Power:
alliance.title,Alliance
alliance.type,[#!]Type:[#] [%115]{0}[%]
alliance.type.inviteonly,Invite Only
alliance.type.open,Open
alliance.type_entry,Type: {0}
alliance.war,War
alliance.war.active,Active
alliance.war.attack_history,Attack History
alliance.war.attack_info,Attack Info
