ID,Name,Title,Costume,Museum,Element,Rarity,Origin,Family,Release date,Class,Mana Speed,Special Skill,Passive #1,Passive #2,Passive #3,Passive #4,Passive #5,Passive #CB1,Passive #CB2,Passive #CB3,Passive #CB4,Passive #CB5,AetherPower,Max level: Attack,Max level: Defense,Max level: Health,Max level: Power,Limit Break #1: Attack,Limit Break #1: Defense,Limit Break #1: Health,Limit Break #1: Power,Limit Break #2: Attack,Limit Break #2: Defense,Limit Break #2: Health,Limit Break #2: Power,Mana Bonus CB1,Max level CB1: Attack,Max level CB1: Defense,Max level CB1: Health,Max level CB1: Power,Limit Break CB1 #1: Attack,Limit Break CB1 #1: Defense,Limit Break CB1 #1: Health,Limit Break CB1 #1: Power,Limit Break CB1 #2: Attack,Limit Break CB1 #2: Defense,Limit Break CB1 #2: Health,Limit Break CB1 #2: Power,Mana Bonus CB2,Max level CB2: Attack,Max level CB2: Defense,Max level CB2: Health,Max level CB2: Power,Limit Break CB2 #1: Attack,Limit Break CB2 #1: Defense,Limit Break CB2 #1: Health,Limit Break CB2 #1: Power,Limit Break CB2 #2: Attack,Limit Break CB2 #2: Defense,Limit Break CB2 #2: Health,Limit Break CB2 #2: Power,Mana Bonus CB3,Max level CB3: Attack,Max level CB3: Defense,Max level CB3: Health,Max level CB3: Power,Limit Break CB3 #1: Attack,Limit Break CB3 #1: Defense,Limit Break CB3 #1: Health,Limit Break CB3 #1: Power,Limit Break CB3 #2: Attack,Limit Break CB3 #2: Defense,Limit Break CB3 #2: Health,Limit Break CB3 #2: Power,Mana Bonus CB4,Max level CB4: Attack,Max level CB4: Defense,Max level CB4: Health,Max level CB4: Power,Limit Break CB4 #1: Attack,Limit Break CB4 #1: Defense,Limit Break CB4 #1: Health,Limit Break CB4 #1: Power,Limit Break CB4 #2: Attack,Limit Break CB4 #2: Defense,Limit Break CB4 #2: Health,Limit Break CB4 #2: Power,parentHeroId,costumeBonusesId,CB1検索キー,CB2検索キー,CB3検索キー,CB4検索キー,CB1 Atk,CB1 Def,CB1 HP,CB1 Mana,CB2 Atk,CB2 Def,CB2 HP,CB2 Mana,CB3 Atk,CB3 Def,CB3 HP,CB3 Mana,CB4 Atk,CB4 Def,CB4 HP,CB4 Mana
forest_female_druid_costume_native,Brienne C,Shaman of Concordia,C1,1506,Green,3,Season1,classic,2020-01-01,Cleric,Average,jungle_fury,,,,,,,,,,,Special Armor,444,446,683,440,504,506,774,491,623,625,956,591,5%,475,477,751,469,539,541,851,524,666,668,1051,632,5%,510,512,819,501,579,581,928,560,716,718,1147,677,5%,519,521,833,509,589,592,944,569,728,731,1166,687,,,,,,,,,,,,,,forest_female_druid,classic,classic_C1_3,classic_C2_3,classic_C3_3,,7%,7%,10%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
goblin_mage_costume_candy,Skittleskull C,Candy Witch,C1,1242,Green,4,Season1,classic,2020-01-01,Cleric,Slow,candy_vines,,,,,,,,,,,Boosted Regen,741,601,941,644,805,653,1022,692,934,757,1185,789,5%,792,643,1044,688,861,698,1134,740,999,809,1315,845,5%,852,691,1129,734,925,750,1226,790,1074,870,1422,903,5%,866,703,1148,745,941,764,1246,802,1092,885,1445,917,5%,881,715,1166,756,957,777,1267,814,1111,900,1469,931,goblin_mage,classic,classic_C1_4,classic_C2_4,classic_C3_4,classic_C4_4,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,19%,19%,24%,5%
elven_archer_costume_moon,Lianna C,The Noble Guardian,C1,809,Green,5,Season1,classic,2020-01-01,Cleric,Fast,pure_shot,,,,,,,,,,,Special Boost,737,710,1240,755,794,765,1336,804,909,876,1529,902,5%,832,802,1488,849,897,864,1603,905,1027,989,1834,1018,5%,950,915,1785,963,1024,986,1923,1028,1172,1130,2201,1159,5%,1142,1100,2108,1127,1230,1185,2271,1205,1408,1357,2599,1361,5%,1289,1242,2207,1232,1389,1338,2378,1318,1590,1533,2721,1491,elven_archer,classic,classic_C1_5,classic_C2_5,classic_C3_5,classic_C4_5,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,75%,75%,78%,5%
forest_titan_costume_jester,Horghall C,Wooden Jester,C1,810,Green,5,Season1,classic,2020-01-01,Ranger,Slow,anger_of_the_jester,,,,,,,,,,,Special Armor,659,661,1518,753,710,712,1636,801,812,815,1871,899,5%,744,746,1821,849,802,804,1963,905,917,920,2245,1017,5%,850,852,2185,966,915,918,2355,1031,1047,1051,2694,1162,5%,1021,1024,2580,1130,1100,1103,2781,1208,1258,1263,3180,1364,,,,,,,,,,,,,,forest_titan,classic,classic_C1_5,classic_C2_5,classic_C3_5,,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,,,,
oriental_female_templar_costume_kimono,Li Xiu C,Ceremonial Assassin,C1,1244,Yellow,4,Season1,classic,2020-01-01,Rogue,Average,slash_of_seven_daggers,,,,,,,,,,,Special Armor,629,658,1081,640,683,715,1175,688,792,829,1362,785,5%,673,704,1199,685,730,765,1304,737,847,887,1511,841,5%,723,756,1297,731,785,822,1410,787,910,953,1634,899,5%,735,769,1318,742,799,836,1433,799,926,969,1661,912,5%,748,783,1340,753,812,850,1457,811,942,986,1688,927,oriental_female_templar,classic,classic_C1_4,classic_C2_4,classic_C3_4,classic_C4_4,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,19%,19%,24%,5%
undead_running_skeleton_costume_roman,Tyrum C,Roman Remnant,C1,1509,Purple,3,Season1,classic,2020-01-01,Rogue,Fast,purifying_hit,,,,,,,,,,,Attack Up,396,425,849,441,449,482,963,491,554,596,1190,592,5%,423,454,933,470,480,515,1059,525,592,637,1309,633,5%,455,488,1018,503,516,554,1155,562,637,685,1428,679,,,,,,,,,,,,,,,,,,,,,,,,,,,undead_running_skeleton,classic,classic_C1_3,classic_C2_3,,,7%,7%,10%,5%,15%,15%,20%,5%,,,,,,,,
royal_female_knight_costume_winter,Sonya C,Viking Champion,C1,1243,Blue,4,Season1,classic,2020-01-01,Druid,Fast,purifying_strike,,,,,,,,,,,Special Armor,616,726,1003,644,669,789,1089,692,776,915,1263,789,5%,659,776,1113,688,715,844,1208,740,830,979,1401,845,5%,708,834,1203,734,769,907,1306,790,892,1052,1515,903,5%,720,849,1223,745,782,923,1328,803,907,1070,1540,917,5%,733,863,1243,757,796,938,1350,815,923,1088,1566,931,royal_female_knight,classic,classic_C1_4,classic_C2_4,classic_C3_4,classic_C4_4,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,19%,19%,24%,5%
nomad_female_shaman_costume_native,Hawkmoon C,Ascendant Mender,C1,1505,Red,3,Season1,classic,2020-01-01,Sorcerer,Average,wind_gospel,,,,,,,,,,,Special Armor,469,450,643,445,531,510,728,495,657,630,900,597,5%,501,481,707,474,568,545,800,528,702,674,990,638,5%,539,517,771,506,610,586,873,564,755,724,1080,683,5%,548,526,784,513,621,596,888,573,768,737,1098,693,,,,,,,,,,,,,,nomad_female_shaman,classic,classic_C1_3,classic_C2_3,classic_C3_3,,7%,7%,10%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
blackguard_knight_costume_elegant,Rigard C,Dapper Noble,C1,1246,Purple,4,Season1,classic,2020-01-01,Ranger,Average,regeneration,,,,,,,,,,,Special Armor,603,669,1156,645,655,727,1256,693,760,843,1456,790,5%,645,715,1283,690,700,777,1394,742,813,902,1616,848,5%,693,769,1387,737,753,836,1507,793,874,969,1747,906,5%,705,782,1410,748,766,850,1532,805,889,986,1776,920,5%,717,796,1433,759,779,865,1557,817,904,1003,1805,934,blackguard_knight,classic,classic_C1_4,classic_C2_4,classic_C3_4,classic_C4_4,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,19%,19%,24%,5%
cultist_inventor_costume_steam,Quintus C,Electro Scientist,C1,815,Purple,5,Season1,classic,2020-01-01,Monk,Slow,shock_ultimatum,,,,,,,,,,,Special Boost,766,632,1339,757,825,681,1443,806,944,779,1651,904,5%,865,714,1606,852,932,769,1731,908,1066,880,1981,1021,5%,988,815,1928,968,1064,878,2077,1034,1217,1004,2377,1164,5%,1187,979,2276,1133,1278,1055,2453,1211,1463,1207,2806,1367,,,,,,,,,,,,,,cultist_inventor,classic,classic_C1_5,classic_C2_5,classic_C3_5,,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,,,,
nordic_ice_enchantress_costume_aqua,Isarnia C,Ice Witch of Glaceholm,C1,811,Blue,5,Season1,classic,2020-01-01,Sorcerer,Slow,glacial_explosion,,,,,,,,,,,Special Boost,828,628,1176,755,892,677,1267,804,1021,774,1450,902,5%,935,709,1411,848,1007,765,1520,904,1153,874,1740,1016,5%,1068,810,1693,962,1150,873,1824,1027,1317,998,2088,1157,5%,1283,973,1999,1126,1382,1049,2153,1203,1582,1199,2465,1359,5%,1449,1099,2093,1232,1561,1184,2255,1318,1786,1354,2581,1490,nordic_ice_enchantress,classic,classic_C1_5,classic_C2_5,classic_C3_5,classic_C4_5,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,75%,75%,78%,5%
lizardman_warrior_costume_dinosaur,Isshtak C,Lizardfolk Ancestor,C1,1515,Green,3,Season1,classic,2020-05-18,Monk,Average,bolstering_rush,,,,,,,,,,,Counter[-]attack,455,373,844,446,516,423,957,498,637,523,1182,599,5%,486,399,928,476,552,452,1052,532,681,559,1300,641,5%,523,428,1012,509,593,486,1148,569,732,601,1418,688,,,,,,,,,,,,,,,,,,,,,,,,,,,lizardman_warrior,classic,classic_C1_3,classic_C2_3,,,7%,7%,10%,5%,15%,15%,20%,5%,,,,,,,,
lizardman_trapper_costume_shaman,Kashhrek C,Lizardfolk Elder,C1,1249,Green,4,Season1,classic,2020-05-18,Sorcerer,Average,second_skin,,,,,,,,,,,Special Armor,558,658,1281,643,607,715,1392,692,704,829,1614,789,5%,597,704,1421,690,649,765,1545,742,753,887,1791,847,5%,641,756,1537,736,698,822,1670,793,809,953,1936,906,5%,652,769,1562,747,710,836,1698,805,823,969,1969,920,5%,664,783,1588,758,722,850,1726,817,837,986,2001,934,lizardman_trapper,classic,classic_C1_4,classic_C2_4,classic_C3_4,classic_C4_4,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,19%,19%,24%,5%
forest_friar_costume_explorer,Friar Tuck C,Jovial Explorer,C1,1513,Green,3,Season1,classic,2020-05-18,Druid,Average,have_curiosity,,,,,,,,,,,Special Armor,451,446,709,446,512,506,803,498,632,625,993,600,5%,482,477,779,476,547,541,883,531,676,668,1092,641,5%,518,512,850,508,588,581,963,568,726,718,1191,686,5%,527,521,864,516,599,592,979,577,739,731,1211,697,,,,,,,,,,,,,,forest_friar,classic,classic_C1_3,classic_C2_3,classic_C3_3,,7%,7%,10%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
exalted_warrior_costume_ice,Magni C,Monolith of Ice,C1,819,Blue,5,Season1,classic,2020-05-18,Druid,Fast,strike_of_the_monolith,,,,,,,,,,,Special Boost,708,698,1334,755,763,752,1438,803,873,861,1645,901,5%,800,788,1600,849,862,849,1725,905,986,972,1974,1018,5%,913,900,1920,965,984,970,2070,1030,1126,1110,2368,1161,5%,1097,1081,2267,1129,1182,1165,2444,1207,1353,1334,2796,1363,5%,1239,1221,2374,1232,1335,1316,2559,1318,1527,1506,2928,1491,exalted_warrior,classic,classic_C1_5,classic_C2_5,classic_C3_5,classic_C4_5,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,75%,75%,78%,5%
dwarven_smasher_costume_smith,Karil C,The Heated,C1,1516,Blue,3,Season1,classic,2020-05-18,Rogue,Average,forge_rush,,,,,,,,,,,Bulwark,502,361,721,442,569,409,817,493,703,506,1010,594,5%,537,386,793,472,608,437,898,525,752,541,1111,635,5%,577,415,865,504,654,470,980,562,808,581,1212,680,5%,587,422,879,511,665,478,996,571,822,592,1232,690,,,,,,,,,,,,,,dwarven_smasher,classic,classic_C1_3,classic_C2_3,classic_C3_3,,7%,7%,10%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
dwarven_guard_costume_ram,Boril C,Heavyweight Defender,C1,1250,Blue,4,Season1,classic,2020-05-18,Paladin,Average,sturdy_riposte,,,,,,,,,,,Ailment Immunity,480,811,1170,643,521,882,1272,692,605,1022,1475,789,5%,513,867,1298,689,557,943,1411,741,647,1093,1637,846,5%,552,932,1404,735,599,1014,1526,792,695,1175,1770,905,5%,561,948,1427,746,609,1031,1551,803,707,1195,1799,918,,,,,,,,,,,,,,dwarven_guard,classic,classic_C1_4,classic_C2_4,classic_C3_4,,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
cultist_sorceress_costume_shaman,Sartana C,Monstress of Descenthia,C1,820,Purple,5,Season1,classic,2020-05-18,Fighter,Fast,dreadstrike,,,,,,,,,,,Rage,653,735,1417,757,703,792,1527,806,805,906,1747,905,5%,737,830,1700,853,794,894,1832,909,909,1023,2096,1023,5%,842,948,2040,970,906,1021,2198,1035,1038,1168,2515,1167,5%,1012,1139,2408,1135,1089,1227,2595,1213,1247,1404,2969,1370,5%,1142,1286,2522,1237,1230,1386,2718,1324,1408,1585,3109,1496,cultist_sorceress,classic,classic_C1_5,classic_C2_5,classic_C3_5,classic_C4_5,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,75%,75%,78%,5%
blackguard_skulker_costume_doctor,Renfeld C,Unhinged Surgeon,C1,1518,Purple,3,Season1,classic,2020-05-18,Cleric,Average,leeching_saw,,,,,,,,,,,Attack Up,408,434,822,444,462,492,931,494,571,608,1151,596,5%,436,464,904,474,494,526,1024,528,610,650,1266,637,5%,469,499,986,506,531,565,1117,565,656,699,1381,683,,,,,,,,,,,,,,,,,,,,,,,,,,,blackguard_skulker,classic,classic_C1_3,classic_C2_3,,,7%,7%,10%,5%,15%,15%,20%,5%,,,,,,,,
forest_archer_costume_warrior,Berden C,Adroit Archer,C1,1511,Green,3,Season1,classic,2020-05-18,Barbarian,Fast,crushing_shot,,,,,,,,,,,Special Boost,436,453,716,444,494,514,811,495,610,635,1002,596,5%,466,484,787,473,528,549,892,528,652,679,1102,637,5%,501,520,859,506,568,591,973,565,701,730,1202,683,5%,510,530,873,514,577,601,989,573,713,742,1222,693,,,,,,,,,,,,,,forest_archer,classic,classic_C1_3,classic_C2_3,classic_C3_3,,7%,7%,10%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
elven_captain_costume_mask,Caedmon C,Elven Avenger,C1,1247,Green,4,Season1,classic,2020-05-18,Fighter,Fast,cleansing_strike,,,,,,,,,,,Special Armor,639,633,1124,643,695,688,1221,691,805,797,1416,788,5%,683,677,1247,688,743,736,1355,740,861,852,1571,844,5%,734,727,1348,734,799,791,1465,791,925,916,1699,903,5%,747,740,1371,745,813,804,1489,803,941,932,1727,917,5%,760,753,1393,756,827,818,1514,815,957,948,1755,931,elven_captain,classic,classic_C1_4,classic_C2_4,classic_C3_4,classic_C4_4,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,19%,19%,24%,5%
dwarwen_brewmaster_costume_guitarist,Kiril C,Master Shredder,C1,1251,Blue,4,Season1,classic,2020-05-18,Sorcerer,Average,blessed_solo,,,,,,,,,,,Defense Up,669,648,1049,647,727,704,1140,696,843,816,1322,793,5%,715,693,1164,692,777,753,1265,744,902,873,1467,850,5%,769,745,1258,738,836,809,1368,795,969,938,1586,908,5%,782,758,1279,750,850,823,1390,807,986,954,1612,922,5%,796,771,1300,761,865,837,1413,819,1003,971,1639,937,dwarwen_brewmaster,classic,classic_C1_4,classic_C2_4,classic_C3_4,classic_C4_4,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,19%,19%,24%,5%
cultist_mage_costume_voodoo,Balthazar C,Undead Magician,C1,1519,Purple,3,Season1,classic,2020-05-18,Sorcerer,Fast,poison_jolt,,,,,,,,,,,Attack Up,498,406,648,443,565,460,734,494,698,569,907,595,5%,532,434,712,472,604,492,807,527,746,608,997,635,5%,572,466,777,504,649,529,880,563,802,654,1088,681,5%,582,475,790,512,661,538,895,572,816,665,1106,691,,,,,,,,,,,,,,cultist_mage,classic,classic_C1_3,classic_C2_3,classic_C3_3,,7%,7%,10%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
blackguard_female_captain_costume_musketeer,Prisca C,Resolute Overseer,C1,1517,Purple,3,Season1,classic,2020-05-18,Fighter,Average,bleeding_thrust,,,,,,,,,,,Attack Up,396,444,846,446,449,504,959,497,554,623,1185,599,5%,423,475,930,476,480,539,1054,531,592,666,1303,641,5%,455,510,1015,509,516,579,1150,568,637,716,1422,687,5%,463,519,1032,516,525,589,1169,577,648,728,1445,697,,,,,,,,,,,,,,blackguard_female_captain,classic,classic_C1_3,classic_C2_3,classic_C3_3,,7%,7%,10%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
nomad_female_swordmaster_costume_native,Azar C,Seeker of Gods,C1,1510,Red,3,Season1,classic,2020-05-18,Ranger,Fast,acute_cut,,,,,,,,,,,Dodge,472,432,663,443,535,490,752,494,662,606,929,596,5%,505,462,729,473,572,524,827,527,708,648,1021,637,5%,542,496,795,504,615,563,902,564,761,696,1114,682,5%,552,505,808,512,625,573,917,572,774,709,1133,693,,,,,,,,,,,,,,nomad_female_swordmaster,classic,classic_C1_3,classic_C2_3,classic_C3_3,,7%,7%,10%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
magitech_sniper_costume_steampunk,Domitia C,Steampunk Sniper,C1,821,Purple,5,Season1,classic,2020-05-18,Ranger,Average,awe_bolt,,,,,,,,,,,Special Boost,741,690,1283,757,799,743,1383,806,914,850,1582,904,5%,837,779,1539,851,902,839,1659,907,1032,960,1898,1020,5%,955,890,1847,967,1030,958,1991,1032,1179,1096,2278,1163,5%,1148,1069,2181,1131,1238,1151,2351,1209,1416,1317,2689,1365,5%,1296,1207,2283,1236,1398,1300,2461,1322,1599,1487,2815,1495,magitech_sniper,classic,classic_C1_5,classic_C2_5,classic_C3_5,classic_C4_5,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,75%,75%,78%,5%
lionman_barbarian_costume_armor,Azlar C,King of the Leors,C1,816,Red,5,Season1,classic,2020-05-18,Paladin,Slow,volcanic_flareup,,,,,,,,,,,Bulwark,782,632,1301,757,843,681,1403,807,965,779,1605,905,5%,883,714,1561,852,952,769,1683,909,1090,880,1926,1022,5%,1008,815,1873,968,1087,878,2020,1034,1244,1004,2311,1165,5%,1212,979,2211,1132,1306,1055,2385,1211,1495,1207,2728,1368,5%,1368,1106,2315,1237,1475,1191,2497,1324,1688,1363,2856,1497,lionman_barbarian,classic,classic_C1_5,classic_C2_5,classic_C3_5,classic_C4_5,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,75%,75%,78%,5%
